value,percentage,datetime
128.66,0.6107471755435299,2024-01-13T02:00:00.000+01:00
126.03,0.6162836185819071,2024-01-13T03:00:00.000+01:00
122.25,0.6197718631178707,2024-01-13T04:00:00.000+01:00
122.26,0.6197911385988036,2024-01-13T05:00:00.000+01:00
124.65,0.6141906873614191,2024-01-13T06:00:00.000+01:00
129.06,0.6012578616352201,2024-01-13T07:00:00.000+01:00
134.34,0.591675842325479,2024-01-13T08:00:00.000+01:00
135.64,0.5885364689547447,2024-01-13T09:00:00.000+01:00
129.15,0.5868320610687023,2024-01-13T10:00:00.000+01:00
119.62,0.5892320575341117,2024-01-13T11:00:00.000+01:00
108.92,0.5955818022747157,2024-01-13T12:00:00.000+01:00
106.26,0.5979404648022059,2024-01-13T13:00:00.000+01:00
109.57,0.5952303346371143,2024-01-13T14:00:00.000+01:00
119.7,0.5982008995502248,2024-01-13T15:00:00.000+01:00
131.45,0.5903089635351176,2024-01-13T16:00:00.000+01:00
140.99,0.5867493445420118,2024-01-13T17:00:00.000+01:00
150.67,0.5825021263434624,2024-01-13T18:00:00.000+01:00
145.56,0.5852834740651388,2024-01-13T19:00:00.000+01:00
141.66,0.5861954812546553,2024-01-13T20:00:00.000+01:00
139.75,0.5887681159420289,2024-01-13T21:00:00.000+01:00
135.17,0.5920977703797801,2024-01-13T22:00:00.000+01:00
133.79,0.5978372581437955,2024-01-13T23:00:00.000+01:00
135.87,0.6121097445600757,2024-01-14T00:00:00.000+01:00
132.4,0.615298819592899,2024-01-14T01:00:00.000+01:00
130.43,0.6237983643407146,2024-01-14T02:00:00.000+01:00
124.9,0.6326292863293319,2024-01-14T03:00:00.000+01:00
122.19,0.6379679423588994,2024-01-14T04:00:00.000+01:00
118.93,0.6324045517388068,2024-01-14T05:00:00.000+01:00
118.14,0.628906042054831,2024-01-14T06:00:00.000+01:00
120.82,0.6235227331372246,2024-01-14T07:00:00.000+01:00
125.89,0.6177437558270769,2024-01-14T08:00:00.000+01:00
125.73,0.6127790232966176,2024-01-14T09:00:00.000+01:00
115.19,0.6066463029281651,2024-01-14T10:00:00.000+01:00
108.08,0.6103456065055343,2024-01-14T11:00:00.000+01:00
106.37,0.6107251535855773,2024-01-14T12:00:00.000+01:00
103.18,0.6120536243919801,2024-01-14T13:00:00.000+01:00
100.26,0.6137365328109696,2024-01-14T14:00:00.000+01:00
102.19,0.6212535716456927,2024-01-14T15:00:00.000+01:00
106.92,0.6214472537053182,2024-01-14T16:00:00.000+01:00
115.75,0.6137653109920993,2024-01-14T17:00:00.000+01:00
129.42,0.6002782931354359,2024-01-14T18:00:00.000+01:00
135.91,0.5963057213057212,2024-01-14T19:00:00.000+01:00
128.46,0.5989090400484871,2024-01-14T20:00:00.000+01:00
127.74,0.6018941714178014,2024-01-14T21:00:00.000+01:00
125.88,0.6027292315058654,2024-01-14T22:00:00.000+01:00
114.07,0.6113403719384748,2024-01-14T23:00:00.000+01:00
123.87,0.6145259711266557,2024-01-15T00:00:00.000+01:00
112.7,0.6271563717306623,2024-01-15T01:00:00.000+01:00
110.56,0.6297920820279123,2024-01-15T02:00:00.000+01:00
107.66,0.6344136711844431,2024-01-15T03:00:00.000+01:00
108.96,0.6369694843914415,2024-01-15T04:00:00.000+01:00
112.11,0.6326392415777892,2024-01-15T05:00:00.000+01:00
113.81,0.6221165409423856,2024-01-15T06:00:00.000+01:00
129.41,0.598704603284756,2024-01-15T07:00:00.000+01:00
165.34,0.6242543230385864,2024-01-15T08:00:00.000+01:00
165.26,0.6222372830302346,2024-01-15T09:00:00.000+01:00
208.99,0.6876706919811786,2024-01-15T10:00:00.000+01:00
202.2,0.6912820512820512,2024-01-15T11:00:00.000+01:00
196.86,0.6967015855039638,2024-01-15T12:00:00.000+01:00
193.36,0.7011640134895022,2024-01-15T13:00:00.000+01:00
146.76,0.6332686084142395,2024-01-15T14:00:00.000+01:00
155.09,0.6325298747909784,2024-01-15T15:00:00.000+01:00
159.95,0.6253665402510068,2024-01-15T16:00:00.000+01:00
164.3,0.6216420734014377,2024-01-15T17:00:00.000+01:00
228.97,0.6698554794921304,2024-01-15T18:00:00.000+01:00
232.37,0.6710659312097497,2024-01-15T19:00:00.000+01:00
225.46,0.676975738650012,2024-01-15T20:00:00.000+01:00
217.27,0.6848110442210106,2024-01-15T21:00:00.000+01:00
164.2,0.6281320530966681,2024-01-15T22:00:00.000+01:00
158.59,0.6354020593773789,2024-01-15T23:00:00.000+01:00
128.85,0.5980783512810991,2024-01-16T00:00:00.000+01:00
126.7,0.6032471551683093,2024-01-16T01:00:00.000+01:00
123.4,0.6038954683370853,2024-01-16T02:00:00.000+01:00
120.97,0.6060014026650636,2024-01-16T03:00:00.000+01:00
120.77,0.6065186822016874,2024-01-16T04:00:00.000+01:00
122.42,0.6036786823807879,2024-01-16T05:00:00.000+01:00
130.2,0.593978102189781,2024-01-16T06:00:00.000+01:00
140.41,0.5816246220123441,2024-01-16T07:00:00.000+01:00
195.0,0.6054584407116466,2024-01-16T08:00:00.000+01:00
186.16,0.6076908010707057,2024-01-16T09:00:00.000+01:00
211.48,0.6805251641137855,2024-01-16T10:00:00.000+01:00
202.03,0.6878319487947705,2024-01-16T11:00:00.000+01:00
203.3,0.6861289233884577,2024-01-16T12:00:00.000+01:00
199.34,0.6903310707854273,2024-01-16T13:00:00.000+01:00
150.07,0.62510934310826,2024-01-16T14:00:00.000+01:00
149.34,0.6292238982051066,2024-01-16T15:00:00.000+01:00
146.46,0.6330941471427337,2024-01-16T16:00:00.000+01:00
150.81,0.6315062183325656,2024-01-16T17:00:00.000+01:00
201.38,0.6934573002754821,2024-01-16T18:00:00.000+01:00
214.57,0.6832133987136215,2024-01-16T19:00:00.000+01:00
215.68,0.683699993660052,2024-01-16T20:00:00.000+01:00
202.39,0.6951638387030294,2024-01-16T21:00:00.000+01:00
137.51,0.6440749414519906,2024-01-16T22:00:00.000+01:00
117.44,0.6618575293056808,2024-01-16T23:00:00.000+01:00
62.31,0.7651031434184676,2024-01-17T00:00:00.000+01:00
59.31,0.7882775119617225,2024-01-17T01:00:00.000+01:00
48.53,0.889968824500275,2024-01-17T02:00:00.000+01:00
47.67,0.9067909454061251,2024-01-17T03:00:00.000+01:00
47.64,0.9067377236391321,2024-01-17T04:00:00.000+01:00
47.22,0.9042512447338185,2024-01-17T05:00:00.000+01:00
60.3,0.7831168831168831,2024-01-17T06:00:00.000+01:00
88.02,0.6657086673725608,2024-01-17T07:00:00.000+01:00
112.73,0.7124439107628135,2024-01-17T08:00:00.000+01:00
112.3,0.7116603295310518,2024-01-17T09:00:00.000+01:00
161.57,0.7829141832630712,2024-01-17T10:00:00.000+01:00
149.92,0.8128388635870744,2024-01-17T11:00:00.000+01:00
130.73,0.8831914606134307,2024-01-17T12:00:00.000+01:00
125.47,0.9061822909143434,2024-01-17T13:00:00.000+01:00
66.5,0.9287709497206704,2024-01-17T14:00:00.000+01:00
68.28,0.9317685589519651,2024-01-17T15:00:00.000+01:00
83.05,0.818791284629794,2024-01-17T16:00:00.000+01:00
110.44,0.7174223723528648,2024-01-17T17:00:00.000+01:00
162.41,0.7815312063904528,2024-01-17T18:00:00.000+01:00
168.94,0.7748119611080536,2024-01-17T19:00:00.000+01:00
175.29,0.7615675370378416,2024-01-17T20:00:00.000+01:00
166.78,0.7808783593969474,2024-01-17T21:00:00.000+01:00
110.75,0.7185958992992473,2024-01-17T22:00:00.000+01:00
83.61,0.8226092089728453,2024-01-17T23:00:00.000+01:00
40.13,0.9261481652434802,2024-01-18T00:00:00.000+01:00
41.42,0.9282832810398923,2024-01-18T01:00:00.000+01:00
40.47,0.9601423487544484,2024-01-18T02:00:00.000+01:00
37.83,0.9887611082070047,2024-01-18T03:00:00.000+01:00
38.7,0.9750566893424035,2024-01-18T04:00:00.000+01:00
40.81,0.9272892524426266,2024-01-18T05:00:00.000+01:00
39.91,0.9257712827650196,2024-01-18T06:00:00.000+01:00
69.41,0.6975178374032761,2024-01-18T07:00:00.000+01:00
115.7,0.710295291300878,2024-01-18T08:00:00.000+01:00
125.29,0.6919805589307412,2024-01-18T09:00:00.000+01:00
161.49,0.7810504933255948,2024-01-18T10:00:00.000+01:00
159.08,0.7846502910131202,2024-01-18T11:00:00.000+01:00
153.26,0.7963626916082099,2024-01-18T12:00:00.000+01:00
148.19,0.8089415361100497,2024-01-18T13:00:00.000+01:00
98.7,0.7365671641791045,2024-01-18T14:00:00.000+01:00
112.36,0.7122210953346856,2024-01-18T15:00:00.000+01:00
133.75,0.6826766026949775,2024-01-18T16:00:00.000+01:00
169.3,0.6380973918287351,2024-01-18T17:00:00.000+01:00
230.38,0.6895746655092939,2024-01-18T18:00:00.000+01:00
226.55,0.6946190403188718,2024-01-18T19:00:00.000+01:00
233.7,0.6892991977347805,2024-01-18T20:00:00.000+01:00
226.46,0.6961573931755303,2024-01-18T21:00:00.000+01:00
167.46,0.6450693374422187,2024-01-18T22:00:00.000+01:00
148.03,0.6678848583288216,2024-01-18T23:00:00.000+01:00
117.01,0.6196578933432189,2024-01-19T00:00:00.000+01:00
114.02,0.6283478452551527,2024-01-19T01:00:00.000+01:00
114.94,0.6311569930261929,2024-01-19T02:00:00.000+01:00
105.93,0.6384017356716688,2024-01-19T03:00:00.000+01:00
99.27,0.6443593405166818,2024-01-19T04:00:00.000+01:00
